Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,South,1301,ESL 085  01,SURVEY OF ENG GRAMMAR 1,5,DAILY,9:00 AM,RSB0016,Dang J. T. ,22,/,25,0,7.3,7,,
Fall 2012,South,1302,ESL 095  01,COLLPREP/NONNATIV-WRITE1,5,DAILY,8:00 AM,RSB0016,Dang J. T. ,21,/,25,0,7,6.7,,
Fall 2012,South,1304,ESL 086  01,SURVEY OF ENG GRAMMAR 2,5,DAILY,9:00 AM,CAS0212,"Farrelly, B ",17,/,25,0,5.7,5.7,,
Fall 2012,South,1305,ESL 097  01,COLLPREP/NONNATIV-WRITE2,5,DAILY,8:00 AM,CAS0212,"Farrelly, B ",20,/,25,0,6.7,6.7,,
Fall 2012,South,1308,NUR 096  01,INTRO APPLY ACAD STRATGY,3,MTTh,12:00 PM,CAS0201,Baldwin S. ,16,/,25,0,3.2,2.8,,
Fall 2012,South,1314,ESL 049  01,NA-C SUPPORT,3,F,9:00 AM,RAH0116,"Rackl, Ann ",8,/,25,0,1.6,1.6,,
Fall 2012,South,1401,ABE 031  01,ABE LEVEL 3 MATH,6,MTWTh,9:00 AM,CAS0312,"Lemley, J. ",26,/,35,0,10.2,10.2,1401B232,
Fall 2012,South,1403,GED 051  01,BASIC GED PREP MATH 5,7,DAILY,9:00 AM,CAS0320,Harness ,29,/,35,0,13.1,13.1,,
Fall 2012,South,1404,ABE 061  01,COMPASS PREP MATH 6,7,DAILY,9:00 AM,CAS0316,Nachman ,18,/,30,0,8.4,8.4,,
Fall 2012,South,1405,ABE 032  01,ABE LEVEL 3 COMM,6,MTWTh,10:35 AM,CAS0312,"Lemley, J. ",24,/,35,0,9.6,9.6,1405B232,
Fall 2012,South,1406,ABE 042  01,ABE LEVEL 4 COMM,6,MTWTh,10:35 AM,CAS0312,"Lemley, J. ",11,/,35,0,4.3,4.3,1405B232,
Fall 2012,South,1407,GED 052  01,GED COMM BASIC,8,DAILY,10:40 AM,CAS0320,Harness ,19,/,35,0,9.8,9.8,,
Fall 2012,South,1408,ABE 062  01,COMPASS PREP COMM 6,8,DAILY,10:40 AM,CAS0316,Nachman ,14,/,30,0,7.5,7.5,,
Fall 2012,South,1424,ABE 031  25,ABE LEVEL 3 MATH,6,MW,6:00 PM,CAS0312,McDonough ,17,/,30,0,6.8,6.8,1424B232,
Fall 2012,South,1425,ABE 041  25,ABE LEVEL 4 MATH,6,MW,6:00 PM,CAS0312,McDonough ,3,/,30,0,1.2,1.2,1424B232,
Fall 2012,South,1426,GED 051  25,BASIC GED PREP MATH 5,6,MW,6:00 PM,CAS0320,"Abeyta,A. ",19,/,30,0,7.6,7.6,1426B232,
Fall 2012,South,1427,ABE 061  25,ABE VI MATH,6,MW,6:00 PM,CAS0320,"Abeyta,A. ",9,/,30,0,3.6,3.6,1426B232,
Fall 2012,South,1428,ABE 032  25,ABE LEVEL 3 COMM,6,TTh,6:00 PM,CAS0312,McDonough ,12,/,30,0,4.8,4.8,1428B232,
Fall 2012,South,1429,ABE 042  25,ABE LVL 4 COMM SKILLS,6,TTh,6:00 PM,CAS0312,McDonough ,9,/,30,0,3.6,3.6,1428B232,
Fall 2012,South,1430,GED 052  25,BASIC GED PREP COMM 5,6,TTh,6:00 PM,CAS0320,"Abeyta,A. ",19,/,30,0,7.6,7.6,1430B232,
Fall 2012,South,1431,ABE 062  25,ABE COMM.VI,6,TTh,6:00 PM,CAS0320,"Abeyta,A. ",9,/,30,0,3.6,3.6,1430B232,
Fall 2012,South,1435,ABE 031  50,ABE LEVEL 3 MATH,4,MTWTh,9:00 AM,NEH0205,"Kindzia, B. ",6,/,25,0,1.6,1.6,1435B232,
Fall 2012,South,1436,ABE 041  50,ABE LEVEL 4 MATH,4,MTWTh,9:00 AM,NEH0205,"Kindzia, B. ",11,/,25,0,2.9,2.9,1435B232,
Fall 2012,South,1437,GED 051  50,BASIC GED PREP MATH 5,4,MTWTh,9:00 AM,NEH0205,"Kindzia, B. ",6,/,25,0,1.6,1.6,1435B232,
Fall 2012,South,1438,ABE 032  50,ABE LEVEL 3 COMM,8,MTWTh,10:00 AM,NEH0205,"Kindzia, B. ",4,/,25,0,2.1,2.1,1438B232,
Fall 2012,South,1439,ABE 042  50,ABE LEVEL 4 COMM SKILLS,8,MTWTh,10:00 AM,NEH0205,"Kindzia, B. ",6,/,25,0,3.2,3.2,1438B232,
Fall 2012,South,1440,GED 052  50,BASIC GED PREP COMM 5,8,MTWTh,10:00 AM,NEH0205,"Kindzia, B. ",12,/,25,0,6.4,6.4,1438B232,
Fall 2012,South,1442,ABE 062  50,ABE COMM. VI,8,MTWTh,10:00 AM,NEH0205,"Kindzia, B. ",1,/,25,0,0.5,0.5,1438B232,
Fall 2012,South,1492,ABE 070  25,ED INTERVIEW FOR ABE/GED,0,T,6:00 PM,CAS0312,"Abeyta,A. ",65,/,62,0,1.3,1.3,,
Fall 2012,South,1494,ABE 070  50,ED INTERVIEW FOR ABE/GED,0,W,9:00 AM,NEH0205,"Kindzia, B. ",16,/,20,0,0.3,0.3,,
Fall 2012,South,2050,SMG 100  01,LEADERSHIP & SUPERVISION,3,MW,6:00 PM,OLY0205,Stowers ,17,/,24,0,3.4,3,,
Fall 2012,South,2052,SMG 103  01,SUPRV A DIVERSE WORKFRCE,3,MW,6:00 PM,OLY0205,Stowers ,16,/,30,0,3.2,3,,
Fall 2012,South,2090,SMG 298  01,INDEPENDENT STUDY-SMG,10,Arr,AR:R M,TBA,Stowers ,3,/,10,0,0.8,0.8,,
Fall 2012,South,2095,FAM 014  01,GENEALOGY,2,F,9:30 AM,OFFC001,"Little, S ",35,/,40,0,4.7,4.7,,
Fall 2012,South,2097,FAM 014  03,AMERICAN GOV PART III,2,F,10:00 AM,OFFC001,Lockerbie ,29,/,36,0,3.9,3.9,,
Fall 2012,South,2100,ABR 111  01,INTRO TO AUTO COLLISION,4,DAILY,7:00 AM,ABR0101,"Ford, S. ",7,/,10,0,1.9,1.9,,
Fall 2012,South,2105,ABR 112  01,SAFETY/ENVIRON PRACTICES,3,DAILY,7:00 AM,ABR0101,"Ford, S. ",7,/,10,0,1.4,1.4,,
Fall 2012,South,2110,ABR 113  01,WELDING AND CUTTING,8,DAILY,7:00 AM,ABR0101,"Ford, S. ",7,/,10,0,3.7,3.7,,
Fall 2012,South,2111,ABR 122  01,WRKING WITH TRIM/HARDWRE,3,DAILY,7:00 AM,ABR0101,"Ford, S. ",14,/,20,0,2.8,2.8,,
Fall 2012,South,2112,ABR 123  01,METAL STRAIGHTENING,4,DAILY,7:00 AM,ABR0101,"Ford, S. ",14,/,20,0,3.7,3.7,,
Fall 2012,South,2113,ABR 124  01,BODY FILLERS,4,DAILY,7:00 AM,ABR0101,"Ford, S. ",14,/,20,0,3.7,3.7,,
Fall 2012,South,2114,ABR 121  01,PANEL REPLACE/ALIGNMENT,4,DAILY,7:00 AM,ABR0101,"Ford, S. ",14,/,20,0,3.7,3.7,,
Fall 2012,South,2120,ABR 161  01,DAMAGE ANALYSIS,5,DAILY,7:00 AM,ABR0101,"Ford, S. ",10,/,25,0,3.3,3.3,,
Fall 2012,South,2125,ABR 162  01,DOOR SKIN/BEAM REPLCEMNT,3,DAILY,7:00 AM,ABR0101,"Ford, S. ",10,/,25,0,2,2,,
Fall 2012,South,2130,ABR 163  01,QUARTER PANEL REPLACEMNT,5,DAILY,7:00 AM,ABR0101,"Ford, S. ",10,/,25,0,3.3,3.3,,
Fall 2012,South,2135,ABR 164  01,MOVEABLE GLASS/HARDWARE,2,DAILY,7:00 AM,ABR0101,"Ford, S. ",10,/,25,0,1.3,1.3,,
Fall 2012,South,2140,ABR 171  01,STRAIGHTING STRUCRL PRTS,7,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,5,0,0.5,0.5,,
Fall 2012,South,2141,ABR 172  01,FULL/PARTIAL PANEL REPLC,7,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,5,0,0.5,0.5,,
Fall 2012,South,2142,ABR 173  01,RESTORE CORROSION PROTEC,2,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,5,0,0.1,0.1,,
